,index,idandtype,productname,company,interest_type,highest_rate,deposit_limit,period,redemption_interest,monthly_interest,review_counts,average_rate
23,68,2428DEPOSITFSS,플러스다모아예금,gwangju,단리,1.41,제한없음,제한없음,"3개월 미만:0.1
3개월-1년:고시금리*경과월수/계약월수*40%
1년-2년:고시금리*경과월수/계약월수*50%
2년-3년:고시금리*경과월수/계약월수*60%","
개월별 기본금리
6개월기본 1.17%우대 시 1.17%12개월기본 1.31%우대 시 1.31%24개월기본 1.41%우대 시 1.41%36개월기본 1.3%우대 시 1.3%
",0,
24,72,2432DEPOSITFSS,아파트사랑정기예금,gwangju,단리,1.71,100만원 ~ 제한없음,12개월 ~ 36개월,"3개월 미만:0.1
3개월-1년:고시금리*경과월수/계약월수*40%
1년-2년:고시금리*경과월수/계약월수*50%
2년-3년:고시금리*경과월수/계약월수*60%","
개월별 기본금리
12개월기본 1.31%우대 시 1.61%24개월기본 1.41%우대 시 1.71%36개월기본 1.3%우대 시 1.6%
",0,
25,75,2435DEPOSITFSS,스마트모아Dream정기예금,gwangju,단리,1.81,"100만원 ~ 2,000만원",1개월 ~ 36개월,"3개월 미만:0.1
3개월-1년:고시금리*경과월수/계약월수*40%
1년-2년:고시금리*경과월수/계약월수*50%
2년-3년:고시금리*경과월수/계약월수*60%","
개월별 기본금리
6개월기본 1.27%우대 시 1.57%12개월기본 1.41%우대 시 1.71%24개월기본 1.51%우대 시 1.81%36개월기본 1.4%우대 시 1.7%
",0,
26,79,2439DEPOSITFSS,제주Dream정기예금(개인/만기지급식),jeju,단리,1.5,제한없음,제한없음,,"
개월별 기본금리
6개월기본 1.2%우대 시 1.2%12개월기본 1.35%우대 시 1.35%24개월기본 1.4%우대 시 1.4%36개월기본 1.5%우대 시 1.5%
",0,
27,83,2443DEPOSITFSS,사이버우대정기예금(만기지급식),jeju,단리,1.9,100만원 ~ 제한없음,1개월 ~ 36개월,"1개월 미만:0.1
3개월 미만:정기예금 기본이자율50%*경과월수/계약월수","
개월별 기본금리
6개월기본 1.5%우대 시 1.6%12개월기본 1.75%우대 시 1.85%24개월기본 1.8%우대 시 1.9%36개월기본 1.8%우대 시 1.9%
",0,
28,87,2447DEPOSITFSS,정기예금,jbb,단리,1.2,1만원 ~ 제한없음,1개월 ~ 60개월,"15일 미만:0.1
15일-3개월:계약기간별실행이율의 2/10
3개월-6개월:계약기간별실행이율의 3/10
6개월-2년:계약기간별실행이율의 4/10
2년-3년:계약기간별실행이율의 5/10
3년 이상:계약기간별실행이율의 6/10","
개월별 기본금리
6개월기본 0.7%우대 시 0.7%12개월기본 1.05%우대 시 1.05%24개월기본 1.1%우대 시 1.1%36개월기본 1.2%우대 시 1.2%
",0,
29,91,2451DEPOSITFSS,맞춤형자유만기정기예금(월이자지급식),jbb,단리,1.15,500만원 ~ 제한없음,6개월 ~ 60개월,매1년 단위로 해지시점의 시장금리부 정기예금 월이자 지급식 예치기간별 실행이율 적용,"
개월별 기본금리
6개월기본 1.05%우대 시 1.05%12개월기본 1.15%우대 시 1.15%
",0,
30,93,2453DEPOSITFSS,맞춤형자유만기정기예금(만기일시지급식),jbb,단리,1.25,500만원 ~ 제한없음,6개월 ~ 60개월,매1년 단위로 해지시점의 시장금리부 정기예금 월이자 지급식 예치기간별 실행이율 적용,"
개월별 기본금리
6개월기본 1.15%우대 시 1.15%12개월기본 1.25%우대 시 1.25%
",0,
31,95,2455DEPOSITFSS,"시장금리부정기예금
(월이자지급식)",jbb,단리,1.2,"300만원 ~ 10,000만",1개월 ~ 36개월,"15일 미만:0.1
15일-3개월:계약기간별실행이율의 2/10
3개월-6개월:계약기간별실행이율의 3/10
6개월-2년:계약기간별실행이율의 4/10
2년-3년:계약기간별실행이율의 5/10
3년 이상:계약기간별실행이율의 6/10","
개월별 기본금리
6개월기본 1.05%우대 시 1.05%12개월기본 1.15%우대 시 1.15%24개월기본 1.15%우대 시 1.15%36개월기본 1.2%우대 시 1.2%
",0,
32,99,2459DEPOSITFSS,"시장금리부정기예금
(만기일시지급식)",jbb,단리,1.3,"300만원 ~ 10,000만",1개월 ~ 36개월,"15일 미만:0.1
15일-3개월:계약기간별실행이율의 2/10
3개월-6개월:계약기간별실행이율의 3/10
6개월-2년:계약기간별실행이율의 4/10
2년-3년:계약기간별실행이율의 5/10
3년 이상:계약기간별실행이율의 6/10","
개월별 기본금리
6개월기본 1.15%우대 시 1.15%12개월기본 1.25%우대 시 1.25%24개월기본 1.25%우대 시 1.25%36개월기본 1.3%우대 시 1.3%
",0,
33,103,2463DEPOSITFSS,"인터넷정기예금
(월이자지급식)",jbb,단리,1.3,"300만원 ~ 10,000만",1개월 ~ 36개월,"15일 미만:0.1
15일-3개월:계약기간별실행이율의 2/10
3개월-6개월:계약기간별실행이율의 3/10
6개월-2년:계약기간별실행이율의 4/10
2년-3년:계약기간별실행이율의 5/10
3년 이상:계약기간별실행이율의 6/10","
개월별 기본금리
6개월기본 1.15%우대 시 1.15%12개월기본 1.25%우대 시 1.25%24개월기본 1.25%우대 시 1.25%36개월기본 1.3%우대 시 1.3%
",0,
34,107,2467DEPOSITFSS,"인터넷정기예금
(만기일시지급식)",jbb,단리,1.4,"300만원 ~ 10,000만",1개월 ~ 36개월,"15일 미만:0.1
15일-3개월:계약기간별실행이율의 2/10
3개월-6개월:계약기간별실행이율의 3/10
6개월-2년:계약기간별실행이율의 4/10
2년-3년:계약기간별실행이율의 5/10
3년 이상:계약기간별실행이율의 6/10","
개월별 기본금리
6개월기본 1.25%우대 시 1.25%12개월기본 1.35%우대 시 1.35%24개월기본 1.35%우대 시 1.35%36개월기본 1.4%우대 시 1.4%
",0,
35,111,2471DEPOSITFSS,"스마트정기예금
(만기일시지급식)",jbb,단리,1.85,"300만원 ~ 5,000만원",1개월 ~ 36개월,"15일 미만:0.1
15일-3개월:계약기간별실행이율의 2/10
3개월-6개월:계약기간별실행이율의 3/10
6개월-2년:계약기간별실행이율의 4/10
2년-3년:계약기간별실행이율의 5/10
3년 이상:계약기간별실행이율의 6/10","
개월별 기본금리
6개월기본 1.3%우대 시 1.7%12개월기본 1.4%우대 시 1.8%24개월기본 1.4%우대 시 1.8%36개월기본 1.45%우대 시 1.85%
",0,
36,115,2475DEPOSITFSS,"JB 다이렉트예금통장
(만기일시지급식)",jbb,단리,1.8,"100만원 ~ 30,000만",12개월,"15일 미만:0.1
15일-3개월:계약기간별실행이율의 2/10
3개월-6개월:계약기간별실행이율의 3/10
6개월-2년:계약기간별실행이율의 4/10
2년-3년:계약기간별실행이율의 5/10
3년 이상:계약기간별실행이율의 6/10","
개월별 기본금리
12개월기본 1.8%우대 시 1.8%
",0,
37,116,2476DEPOSITFSS,마니마니정기예금,bnkgn,단리,1.3,500만원 ~ 제한없음,1개월 ~ 24개월,"1개월 미만:0.1
1개월 이상:기본이율50%*경과월수/계약월수","
개월별 기본금리
6개월기본 1.05%우대 시 1.05%12개월기본 1.25%우대 시 1.25%24개월기본 1.3%우대 시 1.3%
",0,
38,119,2479DEPOSITFSS,"스마트
정기예금",bnkgn,단리,1.5,"100만원 ~ 5,000만원",1개월 ~ 12개월,"1개월 미만:0.1
1개월 이상:기본이율50%*경과월수/계약월수","
개월별 기본금리
6개월기본 1.15%우대 시 1.3%12개월기본 1.35%우대 시 1.5%
",0,
39,121,2481DEPOSITFSS,"e-Money
정기예금",bnkgn,단리,1.4,100만원 ~ 제한없음,1개월 ~ 12개월,"1개월 미만:0.1
1개월 이상:기본이율50%*경과월수/계약월수","
개월별 기본금리
6개월기본 1.15%우대 시 1.2%12개월기본 1.35%우대 시 1.4%
",0,
40,123,2483DEPOSITFSS,"다모아
정기예금",bnkgn,단리,2.55,500만원 ~ 제한없음,12개월,"1개월 미만:0.1
1개월 이상:기본이율50%*경과월수/계약월수","
개월별 기본금리
12개월기본 1.25%우대 시 2.25%24개월기본 1.55%우대 시 2.55%
",0,
41,125,2485DEPOSITFSS,"新서민섬김통장 
(실세금리정기예금)",ibk,단리,1.5,"제한없음 ~ 3,000만원",12개월 ~ 36개월,"1개월 미만:0.1
3개월 미만:0.3
3개월 이상:상품가입일 현재 계약기간별 고시금리*인정률
- 6개월 미만:30%
- 1년 미만:40%
- 1년 이상:50%","
개월별 기본금리
12개월기본 1.2%우대 시 1.4%24개월기본 1.25%우대 시 1.45%36개월기본 1.3%우대 시 1.5%
",1,3.0
42,128,2488DEPOSITFSS,IBK흔들어예금,ibk,단리,1.7,"100만원 ~ 10,000만",3개월 ~ 12개월,"1개월 미만:0.1
3개월 미만:0.3
3개월 이상:상품가입일 현재 계약기간별 고시금리*인정률
- 6개월 미만:30%
- 1년 미만:40%
- 1년 이상:50%","
개월별 기본금리
6개월기본 1.25%우대 시 1.65%12개월기본 1.3%우대 시 1.7%
",0,
43,129,2489DEPOSITFSS,IBK평생한가족통장 (실세금리정기예금),ibk,단리,1.6,100만원 ~ 제한없음,12개월 ~ 36개월,"1개월 미만:0.1
3개월 미만:0.3
3개월 이상:상품가입일 현재 계약기간별 고시금리*인정률
- 6개월 미만:30%
- 1년 미만:40%
- 1년 이상:50%","
개월별 기본금리
12개월기본 1.3%우대 시 1.5%24개월기본 1.35%우대 시 1.55%36개월기본 1.4%우대 시 1.6%
",0,
44,132,2492DEPOSITFSS,사랑해정기예금,suhyup,단리,1.1,100만원 ~ 제한없음,3개월 ~ 12개월,"3개월 미만:0.3
3개월-6개월:기본이율*3/약정기간50%
6개월-9개월:기본이율*6/약정기간55%
9개월-1년:기본이율*9/약정기간55%","
개월별 기본금리
6개월기본 0.9%우대 시 0.9%12개월기본 1.1%우대 시 1.1%
",0,
45,134,2494DEPOSITFSS,사랑해나누리예금,suhyup,단리,1.6,100만원 ~ 제한없음,3개월 ~ 12개월,"3개월 미만:0.3
3개월-6개월:기본이율*3/약정기간45%
6개월-9개월:기본이율*6/약정기간50%
9개월-1년:기본이율*9/약정기간50%","
개월별 기본금리
6개월기본 1.3%우대 시 1.4%12개월기본 1.5%우대 시 1.6%
",0,
46,136,2496DEPOSITFSS,KDBdream 정기예금,kdb,단리,1.6,100만원 ~ 제한없음,6개월 ~ 24개월,가입일에 고시된 일반정기예금 기간별 중도해지이율 적용,"
개월별 기본금리
6개월기본 1.35%우대 시 1.45%12개월기본 1.45%우대 시 1.55%24개월기본 1.5%우대 시 1.6%
",0,
47,139,2499DEPOSITFSS,KDB Hi 정기예금,kdb,단리,1.7,100만원 ~ 제한없음,12개월,가입일에 고시된 일반정기예금 기간별 중도해지이율 적용,"
개월별 기본금리
12개월기본 1.7%우대 시 1.7%
",0,
48,140,2500DEPOSITFSS,정기예금,hk_sb,단리,2.45,100만원 ~ 제한없음,1개월 ~ 60개월,"3개월 미만:보통예금이율
6개월 미만:0.3
12개월 미만:0.5
12개월 이상:1.0","
개월별 기본금리
6개월기본 1.6%우대 시 1.65%12개월기본 2.1%우대 시 2.15%24개월기본 2.3%우대 시 2.35%36개월기본 2.4%우대 시 2.45%
",0,
49,148,2508DEPOSITFSS,정기예금,osb_sb,단리,2.4,10만원 ~ 제한없음,1개월 ~ 36개월,"3개월 미만:0.2
12개월 미만:1.0
12개월 이상:1.5","
개월별 기본금리
6개월기본 1.6%우대 시 1.6%12개월기본 2.2%우대 시 2.2%24개월기본 2.3%우대 시 2.3%36개월기본 2.4%우대 시 2.4%
",0,
50,156,2516DEPOSITFSS,정기예금,dongbu_sb,단리,2.15,10만원 ~ 제한없음,1개월 ~ 24개월,"6개월 미만:0.5
6개월-12개월:1.0
12개월 이상:1.5","
개월별 기본금리
6개월기본 1.7%우대 시 1.75%12개월기본 2.1%우대 시 2.15%24개월기본 2.1%우대 시 2.15%
",0,
51,162,2522DEPOSITFSS,정기예금,sky_sb,단리,2.2,10만원 ~ 제한없음,1개월 ~ 36개월,"3개월 미만:0.5
12개월 미만:1.0
12개월 이상:1.5","
개월별 기본금리
6개월기본 1.7%우대 시 1.8%12개월기본 2.1%우대 시 2.2%24개월기본 2%우대 시 2.1%36개월기본 2%우대 시 2.1%
",0,
52,170,2530DEPOSITFSS,정기예금,minkook_sb,단리,2.2,10만원 ~ 제한없음,1개월 ~ 36개월,"1개월 미만:0.2
3개월 미만:1.0
6개월 미만:1.2
12개월 미만:1.2
12개월 이상:1.5","
개월별 기본금리
6개월기본 1.7%우대 시 1.9%12개월기본 2%우대 시 2.2%24개월기본 2%우대 시 2.2%36개월기본 2%우대 시 2.2%
",0,
53,178,2538DEPOSITFSS,e-행복정기예금,minkook_sb,단리,2.1,10만원 ~ 제한없음,1개월 ~ 36개월,"1개월 미만:0.2
3개월 미만:1.0
6개월 미만:1.2
12개월 미만:1.2
12개월 이상:1.5","
개월별 기본금리
6개월기본 1.8%우대 시 1.8%12개월기본 2.1%우대 시 2.1%24개월기본 2.1%우대 시 2.1%36개월기본 2%우대 시 2%
",0,
54,186,2546DEPOSITFSS,푸른 정기예금,pureun_sb,단리,2.2,10만원 ~ 제한없음,1개월 ~ 24개월,실예치기간 금리의 50%,"
개월별 기본금리
6개월기본 1.6%우대 시 1.7%12개월기본 2.1%우대 시 2.2%24개월기본 2.1%우대 시 2.2%
",0,
55,192,2552DEPOSITFSS,정기예금,sb_sb,단리,1.9,10만원 ~ 제한없음,제한없음,"3개월 미만:0.5
3개월-6개월:1.0
6개월-12개월:1.0
12개월 이상:1.5","
개월별 기본금리
6개월기본 1.4%우대 시 1.4%12개월기본 1.8%우대 시 1.8%24개월기본 1.9%우대 시 1.9%36개월기본 1.9%우대 시 1.9%
",0,
56,200,2560DEPOSITFSS,정기예금,ts_sb,단리,2.0,10만원 ~ 제한없음,1개월 ~ 24개월,"3개월 미만:0.5
3개월-6개월:0.8
6개월-12개월:1.0
12개월 이상:1.3","
개월별 기본금리
6개월기본 1.9%우대 시 2%12개월기본 2.2%우대 시 2.3%24개월기본 2.3%우대 시 2.4%
",1,3.0
57,206,2566DEPOSITFSS,정기예금,thek_sb,복리,2.47,10만원 ~ 제한없음,1개월 ~ 36개월,"1개월 이상:0.5
3개월 이상:0.8
6개월 이상:1.0
12개월 이상:1.3
18개월 이상:1.4
24개월 이상:1.5","
개월별 기본금리
6개월기본 1.71%우대 시 1.81%12개월기본 2.12%우대 시 2.22%24개월기본 2.24%우대 시 2.34%36개월기본 2.37%우대 시 2.47%
",0,
58,214,2574DEPOSITFSS,정기예금,choeun_sb,단리,2.6,10만원 ~ 제한없음,6개월 ~ 36개월,"6개월 미만:0.5
6-12개월:1.0
12개월 이상:1.5","
개월별 기본금리
6개월기본 1.8%우대 시 1.9%12개월기본 2.1%우대 시 2.2%24개월기본 2.4%우대 시 2.5%36개월기본 2.5%우대 시 2.6%
",0,
59,222,2582DEPOSITFSS,정기예금,sbi_sb,단리,2.4,10만원 ~ 제한없음,1개월 ~ 36개월,가입일 당시 영업점에 고시된 일반정기예금 중도해지이율,"
개월별 기본금리
6개월기본 1.4%우대 시 1.5%12개월기본 2.1%우대 시 2.2%24개월기본 2.3%우대 시 2.4%36개월기본 2.3%우대 시 2.4%
",0,
60,230,2590DEPOSITFSS,정기예금,shinan_sb,단리,2.1,10만원 ~ 제한없음,1개월 ~ 36개월,1.0,"
개월별 기본금리
6개월기본 1.7%우대 시 1.7%12개월기본 2.1%우대 시 2.1%24개월기본 2.1%우대 시 2.1%36개월기본 2.1%우대 시 2.1%
",0,
61,238,2598DEPOSITFSS,스마트정기예금,shinan_sb,단리,2.1,10만원 ~ 제한없음,1개월 ~ 36개월,1.0,"
개월별 기본금리
6개월기본 1.7%우대 시 1.7%12개월기본 2.1%우대 시 2.1%24개월기본 2.1%우대 시 2.1%36개월기본 2.1%우대 시 2.1%
",0,
62,246,2606DEPOSITFSS,정기예금,hyundai_sb,단리,2.4,10만원 ~ 제한없음,1개월 ~ 120개월,"1개월 이상:0.1
6개월 이상:1.0","
개월별 기본금리
6개월기본 1.8%우대 시 1.9%12개월기본 2.2%우대 시 2.3%24개월기본 2.3%우대 시 2.4%36개월기본 2.3%우대 시 2.4%
",1,3.0
63,254,2614DEPOSITFSS,정기예금,hanshin_sb,단리,1.9,10만원 ~ 제한없음,1개월 ~ 36개월,"3개월 미만:약정 당시 보통예금금리
3개월 이상:약정 당시 저축예금금리","
개월별 기본금리
6개월기본 1.4%우대 시 1.6%12개월기본 1.6%우대 시 1.8%24개월기본 1.7%우대 시 1.9%36개월기본 1.7%우대 시 1.9%
",0,
64,262,2622DEPOSITFSS,정기예금,goryo_sb,단리,2.8,10만원 ~ 제한없음,1개월 ~ 36개월,"6개월 미만:1.0
1년 미만:1.2
1년 이상:가입당시 1년 정기예금 금리","
개월별 기본금리
6개월기본 2%우대 시 2.1%12개월기본 2.4%우대 시 2.5%24개월기본 2.6%우대 시 2.7%36개월기본 2.7%우대 시 2.8%
",0,
65,270,2630DEPOSITFSS,꿈 찾아 정기예금,kukje_sb,단리,2.2,10만원 ~ 제한없음,1개월 ~ 36개월,"1개월 이상:0.2
3개월 이상:0.3
6개월 이상:0.5
12개월 이상:1.0","
개월별 기본금리
6개월기본 1.3%우대 시 1.3%12개월기본 2.2%우대 시 2.2%24개월기본 2%우대 시 2%36개월기본 2%우대 시 2%
",0,
66,278,2638DEPOSITFSS,정기예금,dh_sb,단리,2.2,제한없음,1개월 ~ 24개월,"1개월 미만:0.5
1개월 이상:1.0
3개월 이상:1.0
6개월 이상:1.2
12개월 이상:1.5","
개월별 기본금리
6개월기본 1.6%우대 시 1.6%12개월기본 2.2%우대 시 2.2%24개월기본 2.2%우대 시 2.2%
",0,
67,284,2644DEPOSITFSS,정기예금,heungkuk_sb,단리,2.3,10만원 ~ 제한없음,1개월 ~ 24개월,,"
개월별 기본금리
6개월기본 1.5%우대 시 1.5%12개월기본 2.2%우대 시 2.2%24개월기본 2.3%우대 시 2.3%
",0,
68,290,2650DEPOSITFSS,정기예금,woolee_sb,단리,8.0,10만원 ~ 제한없음,1개월 ~ 12개월,"2개월 미만:0.2
3개월 미만:0.3
6개월 미만:0.4
12개월 미만:0.6
12개월 이상:0.8","
개월별 기본금리
6개월기본 0.8%우대 시 0.8%12개월기본 1%우대 시 1%24개월기본 1%우대 시 1%
",0,
69,296,2656DEPOSITFSS,정기예금,insung_sb,단리,2.3,10만원 ~ 제한없음,1개월 ~ 60개월,,"
개월별 기본금리
6개월기본 1.6%우대 시 1.7%12개월기본 2.1%우대 시 2.2%24개월기본 2.2%우대 시 2.3%36개월기본 2.2%우대 시 2.3%
",0,
70,304,2664DEPOSITFSS,정기예금,kuemhwa_sb,단리,2.4,10만원 ~ 제한없음,1개월 ~ 36개월,"3개월 미만:0.5
3개월 이상:해당경과기간이율*50%","
개월별 기본금리
6개월기본 1.8%우대 시 1.9%12개월기본 2.1%우대 시 2.2%24개월기본 2.3%우대 시 2.4%36개월기본 2.3%우대 시 2.4%
",0,
71,312,2672DEPOSITFSS,정기예금,incheon_sb,단리,2.4,제한없음,1개월 ~ 36개월,"6개월 미만:0.5
6개월 이상:1.0","
개월별 기본금리
6개월기본 1.6%우대 시 1.7%12개월기본 2.1%우대 시 2.2%24개월기본 2.3%우대 시 2.4%36개월기본 2.3%우대 시 2.4%
",2,2.5
72,320,2680DEPOSITFSS,정기예금,moa_sb,단리,2.2,10만원 ~ 제한없음,1개월 ~ 24개월,"3개월 미만:0.2
3개월 이상:0.5
6개월 이상:1.0","
개월별 기본금리
6개월기본 1.5%우대 시 1.6%12개월기본 2.1%우대 시 2.2%24개월기본 2.1%우대 시 2.2%
",0,
73,326,2686DEPOSITFSS,정기예금,debec_sb,단리,2.1,10만원 ~ 제한없음,1개월 ~ 60개월,"3개월 미만:0.2
6개월 미만:0.5
6개월 이상:1.0","
개월별 기본금리
6개월기본 1.5%우대 시 1.5%12개월기본 2%우대 시 2%24개월기본 2.1%우대 시 2.1%36개월기본 2.1%우대 시 2.1%
",0,
